cmd_name,pkg_man,pkg_name,system_type,description,github_fallback
base-devel,yay,base-devel,all,required build tools,
build-essential,apt,build-essential,all,required build tools,
git,_default,git,all,version control,
wget,_default,wget,all,data transfer tool,
curl,_default,curl,all,data transfer tool,
http,_default,httpie,all,curl replacement,
rg,_default,ripgrep,all,better grep,
jq,_default,jq,all,json processor,
nvim,_default,neovim,all,text editor,
lf,_default,lf,all,file manager,gokcehan/lf
tmux,_default,tmux,all,terminal multiplexer,
rsync,_default,rsync,file copy tool,
fzf,_default,fzf,all,fuzzy finder,
htop,_default,htop,all,interactive process viewer,
unrar,_default,unrar,all,rar extractor,
rar,_default,rar,all,rar archiver,
unzip,_default,unzip,all,zip extractor,
zip,_default,zip,all,zip archiver,
p7zip,_default,p7zip,all,7zip toolkit,
zsh,_default,zsh,all,unix shell,
feh,_default,feh,desktop,image viewer,
imagemagick,_default,imagemagick,desktop,image editor,
mpv,_default,mpv,desktop,video player,
ffmpeg,_default,ffmpeg,desktop,video editor,
xlip,_default,xclip,desktop,clipboard,
zathura,_default,zathura,desktop,pdf viewer,
